order_id,customer_id,order_date,status,payment_method,shipping_address,billing_address,discount_amount,tax_amount,shipping_cost,total_amount,currency,created_at,updated_at,subtotal
19900399,414737,2025-06-12T23:14:46.602118,Completed,Debit Card,"5285 Kim Stravenue Suite 697 Ronaldfurt, OR 56398","3783 White Avenue Apt. 314 Michaelburgh, WA 60015",51.35,694.14,49.81,8704.49,GBP,2025-06-12T23:14:46.602118,2025-06-15T23:14:46.602118,8166.41
19900400,435256,2025-01-14T17:04:40.501342,Completed,PayPal,"495 Russell Shoals Suite 877 New Jennifer, NY 92774","0103 Patricia Bypass Suite 736 Walkerland, ND 66095",0.0,192.52,32.13,2449.19,USD,2025-01-14T17:04:40.501342,2025-01-17T17:04:40.501342,2264.96
19900408,490195,2024-10-09T01:11:42.364576,Completed,PayPal,"5462 Arthur Plain Suite 713 Port Marcusland, MO 28513","80955 Gerald Cape Tylerburgh, FM 97358",0.0,1233.55,40.27,15140.61,USD,2024-10-09T01:11:42.364576,2024-10-16T01:11:42.364576,14512.35
19900426,460535,2024-04-08T00:43:12.665162,Completed,Cash on Delivery,"825 Nelson Causeway Suite 849 Deckertown, WI 49768","13712 Hanson Island Suite 765 North Marystad, LA 75208",10.91,488.57,13.39,5930.09,USD,2024-04-08T00:43:12.665162,2024-04-09T00:43:12.665162,5747.91
19900432,445291,2025-06-06T18:04:03.880569,Completed,Credit Card,USS Williams FPO AE 45056,"74532 Alexander Fort Apt. 449 West Patrickton, OK 97448",0.0,1216.65,36.64,15555.36,EUR,2025-06-06T18:04:03.880569,2025-06-13T18:04:03.880569,14313.48
19900441,495284,2024-10-24T22:24:15.191324,Completed,PayPal,"290 Cuevas Union New Matthewberg, DC 30196","5178 Smith Haven Paulmouth, VI 09290",0.0,864.36,36.8,11070.07,CAD,2024-10-24T22:24:15.191324,2024-10-29T22:24:15.191324,10168.910000000002
19900446,403980,2024-11-03T13:31:46.061346,Completed,Debit Card,"841 Goodwin Mills Apt. 213 New Cathy, ME 23667",Unit 6464 Box 3042 DPO AE 99111,29.26,430.45,43.17,4901.14,GBP,2024-11-03T13:31:46.061346,2024-11-04T13:31:46.061346,5064.150000000001
19900453,481154,2025-06-13T05:23:17.611259,Processing,Debit Card,"3792 Theresa Trail Apt. 207 North Thomasmouth, MT 72315","9176 Emily Overpass Matastad, NE 55968",0.0,1376.83,10.75,16492.08,CAD,2025-06-13T05:23:17.611259,2025-06-20T05:23:17.611259,16197.98
19900454,490875,2025-02-13T10:45:51.742971,Completed,Bank Transfer,"29042 Jackson Mountain Barnesfort, FM 11487","971 Bradley Ridges Lake Nicoletown, GU 85882",0.0,1248.75,29.61,15863.66,USD,2025-02-13T10:45:51.742971,2025-02-19T10:45:51.742971,14691.22
19900469,406410,2024-02-29T00:43:57.999645,Completed,Debit Card,"705 Snyder Flat North Valerie, AZ 95563","032 Scott Mall South Carolynshire, VA 17446",0.0,2115.02,4.56,27002.15,USD,2024-02-29T00:43:57.999645,2024-03-06T00:43:57.999645,24882.57
19900470,470500,2024-11-26T13:04:12.714799,Shipped,Bank Transfer,"121 Craig Freeway Apt. 848 New Rachel, GU 27063","274 Vaughan Run North Greg, OH 43394",52.54,2896.65,49.15,36238.08,USD,2024-11-26T13:04:12.714799,2024-11-26T13:04:12.714799,34078.2
19900471,460002,2025-01-22T03:30:58.429131,Processing,Credit Card,"47460 Franco Loop Suite 355 West Robert, OR 38446","71417 Jorge Roads Adamsside, HI 34842",0.0,697.23,5.0,8903.53,GBP,2025-01-22T03:30:58.429131,2025-01-29T03:30:58.429131,8202.74
19900479,408782,2024-09-08T17:42:43.017497,Completed,PayPal,"802 King Park Garzamouth, WA 72909","2150 Hopkins Land Apt. 661 North Lindafurt, WI 38892",0.0,2866.89,47.01,36579.31,USD,2024-09-08T17:42:43.017497,2024-09-11T17:42:43.017497,33728.11
19900485,475109,2025-07-10T05:52:35.553741,Cancelled,Cash on Delivery,"330 Bryan Viaduct Apt. 205 South Heatherview, MN 25820","07167 Decker Light Apt. 193 Sarahstad, MP 46328",0.0,2480.18,6.44,31665.16,USD,2025-07-10T05:52:35.553741,2025-07-15T05:52:35.553741,29178.54
19900496,425806,2024-06-20T00:30:41.427408,Completed,PayPal,"1416 Thornton Manor Freemanmouth, SC 98818","36153 Williamson Track West Christopher, MP 65068",0.0,1409.71,37.03,17761.55,USD,2024-06-20T00:30:41.427408,2024-06-20T00:30:41.427408,16584.78
19900503,457578,2025-07-07T06:24:54.408142,Completed,Digital Wallet,"383 Nathan Burg Hayesbury, WY 47559","003 Carter Mill Morenomouth, CO 16015",0.0,1089.98,31.33,13559.88,USD,2025-07-07T06:24:54.408142,2025-07-11T06:24:54.408142,12823.27
19900505,482738,2024-09-04T16:02:30.510967,Completed,PayPal,"0569 John Wells West Amandaburgh, NC 76751","PSC 4554, Box 8797 APO AP 19944",0.0,969.48,36.96,12367.29,EUR,2024-09-04T16:02:30.510967,2024-09-09T16:02:30.510967,11405.69
19900511,439545,2024-12-31T18:35:38.864099,Completed,Credit Card,"732 Mason Cliff Danielshire, CO 56266","93299 Williams Gateway Suite 886 South William, RI 52443",86.23,894.29,14.14,11343.22,USD,2024-12-31T18:35:38.864099,2025-01-05T18:35:38.864099,10521.02
19900517,445285,2025-02-24T13:15:45.777769,Completed,Digital Wallet,"129 Anthony Estates Jenkinsmouth, MO 76466","8028 Lisa Drives New Dustinburgh, HI 05876",0.0,1085.09,23.37,13475.75,GBP,2025-02-24T13:15:45.777769,2025-02-24T13:15:45.777769,12765.77
